BreachedEntity;State;PublishedDate;BreachType;BreachCategory;RecorsReported;Source;URL
BCS Financial, Inc. - Lee & Mason Financial Services;IL;6/18/2019;Electronic;Business;84;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315244.pdf#
International Finance Bank;FL;7/1/2019;Electronic;Banking/Credit/Financial;2,950;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315506.pdf#
White Oak Commercial Finance, LLC;NY;7/2/2019;Electronic;Banking/Credit/Financial;75;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315505.pdf#
Cabaletta Bio, Inc.;PA;7/1/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315496%20(2).pdf#
Blu Dot Design and Manufacturing, Inc.;MN;7/5/2019;Electronic;Business;122;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315493.pdf#
Ludus, LLC;MI;7/8/2019;Electronic;Business;3,671;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315490.pdf#
Humana Inc (reported on 10/2/2019);KY;10/2/2019;Electronic;Medical/Healthcare;756;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Toyota Financial Services;WA;10/3/2019;Electronic;Banking/Credit/Financial;2,352;atg.wa.gov;#https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ToyotaFinancialSe
Telecare Corporation;CA;10/4/2019;Electronic;Medical/Healthcare;823;oag.ca.gov;#https://oag.ca.gov/system/files/Breach%20Notification%20Letter%2010_3_2019.pdf#
San Francisco Department of Public Health (third-party Alluma);CA;9/27/2019;Paper Data;Medical/Healthcare;622;oag.ca.gov;#https://oag.ca.gov/system/files/Pt%20Notif%20Ltr_FINAL_filed%20online%20State%20AG.pdf#
McAlister's Corporation, Moe's Stores LLC, Schlottzky's Stores LLC, and entities that are franchisees;GA;10/2/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/California%20Notice_1.pdf#
Monterey Health Center;OR;10/11/2019;Electronic;Medical/Healthcare;5,400;montereyhealthcenter.org;#https://docs.wixstatic.com/ugd/004285_7ea15014af5f4bafa35be351f780af2d.pdf#
Perfect Teeth Yale, P.C.;CO;9/19/2019;Electronic;Medical/Healthcare;15,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Choctaw Nation Health Service Authority - Talihina Clinic;OK;9/27/2019;Electronic;Medical/Healthcare;500;choctawnation.com;#https://www.choctawnation.com/news-events/press-media/talihina-clinic-data-breach#
Datamars, Inc.;TX;7/9/2019;Electronic;Business;117;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315488.pdf#
Tuckey Companies;PA;7/11/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315482.pdf#
OneMain Financial (reported on 7/12/2019);MD;7/12/2019;Electronic;Banking/Credit/Financial;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315476.pdf#
New Hampshire Department of Health and Human Services;NH;6/10/2019;Electronic;Government/Military;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/health-human-services-20190613.pdf#
University of Alabama Medicine (UAB Medicine);AL;9/30/2019;Electronic;Medical/Healthcare;19,557;uab.edu;#https://www.uab.edu/news/health/item/10813-uab-medicine-notifies-patients-of-data-breach#
City of Broken Arrow (Click2Gov #2);OK;9/19/2019;Electronic;Government/Military;Unknown;geminiadvisory.io;#https://geminiadvisory.io/second-wave-of-click2gov-breaches-hits-united-states/#
City of Coral Springs (Click2Gov #2);FL;9/19/2019;Electronic;Government/Military;Unknown;geminiadvisory.io;#https://geminiadvisory.io/second-wave-of-click2gov-breaches-hits-united-states/#
City of Bakersfield (Click2Gov #2);CA;9/19/2019;Electronic;Government/Military;2,500;bakersfield.com;#https://www.bakersfield.com/news/city-to-ditch-online-payment-system-that-was-breached-twice/article_8c04d274-e6f
Methodist Hospitals, Inc.;IN;10/4/2019;Electronic;Medical/Healthcare;68,039;methodisthospitals.org;#https://www.methodisthospitals.org/wp-content/uploads/2019/10/Methodist-Hospitals-Website-Notice.pdf#
Steppenwolf Theatre Company;IL;6/13/2019;Electronic;Business;1,014;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/steppenwolf-theatre-20190624.pdf#
Springhouse, Inc. (business associate Tenx Systems, LLC dba ResiDex Software);MA;7/12/2019;Electronic;Business;479;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/springhouse-20190712.pdf#
Sophia Snow House (business associate Tenx Systems, LLC dba ResiDex Software);MA;7/12/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/sophia-snow-house-20190712.pdf#
Paine Art Center and Gardens, Inc.;WI;7/18/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/paint-art-center-20190722.pdf#
Faulk & Winkler LLC;LA;7/8/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/faulk-winkler-20190708.pdf#
Epoch Senior Living, LLC (business associate Tenx Systems, LLC dba ResiDex Software);MA;7/12/2019;Electronic;Business;1,389;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/epoch-senior-living-20190712.pdf#
EnergyUnited;NC;6/14/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/energy-united-20190617.pdf#
Coastal Truck & Auto Body, Inc.;NH;7/12/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/coastal-truck-20190715.pdf#
Compu-Link Corporation dba Celink;MI;7/3/2019;Electronic;Banking/Credit/Financial;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/celink-20190703.pdf#
Alexandrian Hotel;VA;6/19/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/alexandrian-20190709.pdf#
Katherine Caldwell, CPA - All Needs Construction LLC payroll folder;MT;9/13/2019;Paper Data;Business;Unknown;media.dojmt.gov;#https://dojmt.gov/consumer/databreach/#
Lakeside Orthopedic Clinic;NE;9/27/2019;Electronic;Medical/Healthcare;48,000;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-17.pdf#
All American Entertainment;NC;9/24/2019;Electronic;Business;486;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-2.pdf#
Majoris Health System, Inc.;OR;9/20/2019;Electronic;Medical/Healthcare;13,120;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-20.pdf#
Salem Health;OR;9/17/2019;Electronic;Medical/Healthcare;Unknown;salemhealth.org;#https://www.salemhealth.org/about/news/news-article/2019/09/27/notice-to-patients#
47 Brand LLC;MA;8/30/2019;Electronic;Business;1,800;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-22.pdf#
Vitalant;TX;9/12/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-6.pdf#
Tom Sauer Bond Agency LLC;CO;9/11/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-7.pdf#
State Bar of Michigan;MI;9/9/2019;Electronic;Government/Military;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-9.pdf#
MGM Resorts International;NV;9/5/2019;Electronic;Business;46,542;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-26.pdf#
Presbyterian Healthcare Services (reported on 9/20/2019);NM;9/20/2019;Electronic;Medical/Healthcare;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/09/20/presbyterian-healthcare-services-notice-of-data-breach-to-consumers/#
Bates Technical College;WA;9/13/2019;Electronic;Medical/Healthcare;2,112;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center (reported on 9/27/2019);GA;9/27/2019;Electronic;Medical/Healthcare;3,290;cancercenter.com;#https://www.cancercenter.com/locations/atlanta/patient-notification-july-29-2019#
City of Charlottesville;VA;9/25/2019;Electronic;Government/Military;10,549;charlottesville.org;#https://www.charlottesville.org/Home/Components/News/News/10032/635#
Children's Hope Alliance;NC;9/26/2019;Electronic;Medical/Healthcare;10,774;childrenshopealliance.org;#https://www.childrenshopealliance.org/notice-of-data-security-event/#
Kearns, Brinen & Monaghan;DE;10/1/2019;Electronic;Business;444;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice.pdf#
Ashton Woods Homes;GA;9/26/2019;Electronic;Business;2,089;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-1.pdf#
Mannheim School District 83;IL;9/19/2019;Electronic;Education;583;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-3.pdf#
American Express Company;NY;9/30/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer.pdf#
Goshen Health;IN;9/30/2019;Electronic;Medical/Healthcare;9,160;goshenhealth.com;#https://goshenhealth.com/health-library/notice-of-data-incident#
Zendesk;CA;10/2/2019;Electronic;Business;Unknown;zendesk.com;#https://www.zendesk.com/blog/security-update-2019/#
Creighton University - Cornerstone Advisors Asset Management, LLC;NE;9/24/2019;Electronic;Education;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/09/24/creighton-university-cornerstone-notice-of-data-breach-to-consumers/#
Covestro LLC;TX;9/23/2019;Electronic;Business;2,780;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/09/23/covestro-llc-notice-of-data-breach-to-consumers/#
Little Rock Plastic Surgery, P.A.;AR;9/12/2019;Electronic;Medical/Healthcare;6,300;katv.com;#https://katv.com/news/local/little-rock-plastic-surgery-releases-statement-after-internal-hipaa-breach#
Sarrell Dental;AL;9/12/2019;Electronic;Medical/Healthcare;391,472;sarrelldental.org;#https://ide.myidcare.com/sarrellprotect/frequently-asked-questions/#
Zynga Inc.;CA;9/12/2019;Electronic;Business;Unknown;investor.zynga.com;#https://investor.zynga.com/news-releases/news-release-details/player-security-announcement#
Jewish Community Federation;CA;9/24/2019;Electronic;Business;1,127;oag.ca.gov;#https://oag.ca.gov/system/files/JCF%20-%20CA%20-%20Notice%20of%20Data%20Event.pdf#
Kaiser Permanente - Northern California (reported on 9/26/2019);CA;9/26/2019;Electronic;Medical/Healthcare;990;oag.ca.gov;#https://oag.ca.gov/system/files/Member%20Letter%20Template_NCal%20email%20incident_092619_FINAL.pdf#
Chirobody;WA;9/19/2019;Electronic;Medical/Healthcare;525;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Mecklenburg County Boy Scouts (third- party vendor Trails End);NC;9/8/2019;Electronic;Business;12,900;scmagazine.com;#https://www.scmagazine.com/home/security-news/data-breach/north-carolina-boy-scouts-pii-compromised/#
Bethlehem Central School District (Pearson - AIMSWeb 1.0 platform);NY;9/9/2019;Electronic;Education;2,168;bethlehemschools.org;#https://www.bethlehemschools.org/letter-pearson-aimsweb-data-breach/#
Edcouch-Elsa Independent School District;TX;7/1/2019;Electronic;Education;Unknown;eeisd.org;#http://www.eeisd.org/UserFiles/Servers/Server_1220678/File/DATA%20BREACH%20Letter/Letter%20for%20Computer
City of Austin Employees' Retirement System;TX;9/11/2019;Electronic;Government/Military;Unknown;coaers.org;#https://www.coaers.org/FAQ-securityincident#
City of Ames (Click2Gov #2);IA;9/19/2019;Electronic;Government/Military;1,500;cityofames.org;#https://www.cityofames.org/Home/Components/News/News/5414/2106#
City of Pocatello (Click2Gov #2);ID;9/19/2019;Electronic;Government/Military;Unknown;pocatello.us;#https://www.pocatello.us/CivicAlerts.aspx?AID=1108#
City of Palm Bay (Click2Gov #2);FL;9/19/2019;Electronic;Government/Military;Unknown;palmbayflorida.org;#https://www.palmbayflorida.org/Home/Components/News/News/7760/17#
Paragon Health, P.C.;MI;9/16/2019;Electronic;Medical/Healthcare;4,674;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Wood Ranch Medical;CA;9/18/2019;Electronic;Medical/Healthcare;5,835;woodranchmedical.com;#https://www.woodranchmedical.com/#
Tomo Drug Testing;MO;9/27/2019;Electronic;Business;1,459;yourdrugtesting.com;#https://www.yourdrugtesting.com/notice-of-data-privacy-event/#
North Florida OB-GYN FL 9/29/2019 Electronic Medical/Healthcare 528,188;OB;9/29/2019;Electronic;Medical/Healthcare;528,188;nfobgyn.com;#https://nfobgyn.com/uploads/WCF-WebsiteNotice.pdf#
Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center (reported on 7/17/2019);MD;7/17/2019;Electronic;Medical/Healthcare;2,696;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315478.pdf#
Keats Insurance Agency, Inc.;NY;7/15/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315471.pdf#
American Association of Tissue Banks;VA;7/17/2019;Electronic;Medical/Healthcare;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315454%20(2).pdf#
DoorDash - Dashers with Driver's licenses exposed;CA;9/26/2019;Electronic;Business;100,000;blog.doordash.com;#https://blog.doordash.com/important-security-notice-about-your-doordash-account-ddd90ddf5996#46h35gr24e#
DoorDash - customers, Dashers, and merchants;CA;9/26/2019;Electronic;Business;Unknown;blog.doordash.com;#https://blog.doordash.com/important-security-notice-about-your-doordash-account-ddd90ddf5996#46h35gr24e#
Audrey Golden Associates;NY;7/17/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315453%20(1).pdf#
Sheridan Healthcorp, Inc and affiliates;FL;7/19/2019;Electronic;Medical/Healthcare;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315450.pdf#
Napa Valley Lodge;CA;7/19/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315448.pdf#
Holland America Line (third-party Baggage Airline Guest Services);WA;7/19/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315446.pdf#
MedStar Health, Inc. (reported on 7/22/2019);MD;7/22/2019;Electronic;Medical/Healthcare;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315436.pdf#
Principal Financial Group (reported on 7/17/2019);IA;7/17/2019;Electronic;Banking/Credit/Financial;2,243;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315530.pdf#
Impact Partnership, LLC (subcontractor OneHQ);GA;7/24/2019;Electronic;Banking/Credit/Financial;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315407.PDF#
Zippy Shell Incorporated;NC;7/24/2019;Electronic;Business;442;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315398.pdf#
Morris, Manning & Martin, LLP;GA;7/26/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315387.pdf#
Florida A&M University Federal Credit Union;FL;7/26/2019;Electronic;Banking/Credit/Financial;2,329;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315379.pdf#
Legends Distributing of Washington DC LLC;DC;7/29/2019;Electronic;Business;Unknown;marylandattorneygeneral.org;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315532.pdf#
Zell Law, PLLC;VA;7/31/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-315374.pdf#
MoviePass;NY;8/20/2019;Electronic;Business;Unknown;techcrunch.com;#https://techcrunch.com/2019/08/20/moviepass-thousands-data-exposed-leak/#
Rocky Mountain Health Maintenance Organization, Incorporated (business associate eviCore healthcare);CO;9/12/2019;Paper Data;Medical/Healthcare;1,835;rmhp.org;#https://www.rmhp.org/#
June E. Nylen Cancer Center;IA;9/11/2019;Electronic;Medical/Healthcare;927;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Sweetser;ME;9/13/2019;Electronic;Medical/Healthcare;22,309;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Premier Gastroenterology Specialists;OH;9/18/2019;Paper Data;Medical/Healthcare;1,260;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Metro Mobility;MN;9/9/2019;Electronic;Government/Military;Unknown;twincities.com;#https://www.twincities.com/2019/09/23/metro-mobility-says-15000-customers-impacted-by-data-breach/#
AXA US NY 4/3/2019 Electronic Business Unknown;US;4/3/2019;Electronic;Business;Unknown;Per;-
Abound Wealth;TN;1/28/2019;Electronic;Banking/Credit/Financial;292;Per;-
TriBen Insurance Solutions, Inc.;PA;1/11/2019;Electronic;Business;Unknown;Per;-
Prisma - Midlands;SC;9/6/2019;Paper Data;Medical/Healthcare;2,770;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Corporate Creations International, Inc.;FL;8/28/2019;Electronic;Business;1,147;mass.gov;#https://www.mass.gov/files/documents/2019/09/04/15638.pdf#
Employers and Laborers Locals 100 and 397 Health & Welfare Fund;MO;8/26/2019;Electronic;Medical/Healthcare;560;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Source 1 Healthcare Solutions LLC;PA;8/29/2019;Electronic;Business;15,450;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Rural Health Access Corporation dba Coalfield Health Center;WV;9/6/2019;Electronic;Medical/Healthcare;874;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Health Care Service Corporation (reported on 9/6/2019);IL;9/6/2019;Paper Data;Medical/Healthcare;998;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Berry Family Services;TX;9/6/2019;Electronic;Medical/Healthcare;1,751;berryfamilyservices.com;#http://berryfamilyservices.com/wp-content/uploads/2019/09/Substitute-Notice-Berry-Family-Services-601070675v1-US
Coyuchi;CA;9/11/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Coyuchi%20Customer%20Letter.pdf#
Regence BlueShield Washington;WA;8/16/2019;Paper Data;Medical/Healthcare;684;atg.wa.gov;#https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Regence.2019-08-
UNICEF (reported on 9/11/2019);NY;9/11/2019;Electronic;Business;Unknown;infosecurity-magazine.com;#https://www.infosecurity-magazine.com/news/unicef-leaks-data-of-online/#
Dealer Leads, LLC;CA;9/11/2019;Electronic;Business;Unknown;securitydiscover.com;#https://securitydiscovery.com/dealer-leads/#
Fraser;MN;8/30/2019;Electronic;Medical/Healthcare;2,890;fraser,org;#https://www.fraser.org/news/fraser-email-compromised-in-phishing-scheme#
Amateur Athletic Union (reported on 9/13/2019);FL;9/13/2019;Electronic;Business;287,661;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/09/13/amateur-athletic-union-sbn-to-consumers/#
Cornerstone Building Brands, Inc.;NC;9/11/2019;Electronic;Business;11,185;oag.ca.gov;#https://oag.ca.gov/system/files/Cornerstone_CA_Sample_Notices.pdf#
Peoples Injury Network Northwest;WA;9/11/2019;Electronic;Medical/Healthcare;13,269;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/09/11/peoples-injury-network-sbn-to-consumers/#
PW Companies - cariloha.com UT 8/29/2019 Electronic Business 59;PW;8/29/2019;Electronic;Business;59;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/08/29/pw-companies-notice-of-data-breach-to-consumers/#
Penn-Mar Human Services;MD;9/5/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/09/05/penn-mar-human-services-sbn-to-consumers/#
Premier Family Medical;UT;8/30/2019;Electronic;Medical/Healthcare;320,000;-;#https://premierfamily.net/questions-about-notification-letter/#
Imperva - Cloud Web Application Firewall product;CA;8/27/2019;Electronic;Business;Unknown;imperva.com;#https://www.imperva.com/blog/ceoblog/#
Buca Di Beppo;CA;8/22/2019;Electronic;Business;596;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Calibre CPA Group;MD;8/26/2019;Electronic;Business;1,801;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Deluxe Corporation;MN;8/29/2019;Electronic;Banking/Credit/Financial;153;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Homeside Financial, LLC;MD;8/29/2019;Electronic;Banking/Credit/Financial;28,446;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Communities Connected for Kids, Inc. (reported on 8/29/2019);FL;8/29/2019;Electronic;Business;149,114;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Borough of Fair Lawn;NJ;8/19/2019;Electronic;Government/Military;3,585;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Edinboro University Student Government Association;PA;8/15/2019;Electronic;Business;362;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
KeyBank N.A.;OH;8/7/2019;Electronic;Banking/Credit/Financial;89;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Olsson, Inc.;NE;8/6/2019;Electronic;Business;3,949;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
AAR Corp.;IL;8/6/2019;Electronic;Business;4,431;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Czero, Inc.;CO;8/1/2019;Electronic;Business;99;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Riggs Wealth Management;WA;8/1/2019;Electronic;Banking/Credit/Financial;1,314;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Data-Breach-NotificationDetails3.pdf#
Cottingham & Butler Claims Services (third-party vendor Equian, LLC);IA;8/30/2019;Electronic;Business;434;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Wall Street Greetings;KY;9/4/2019;Electronic;Business;412;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
South Eastern Pennsylvania Transportation Authority (SEPTA);PA;9/5/2019;Electronic;Government/Military;761;maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Fedcap Rehabilitation Services, Inc.;NY;8/29/2019;Electronic;Business;5,097;fedcap.org;#http://www.fedcap.org/sites/default/files/fedcapwebsitenotice82919.pdf#
Andy Frain Services;IL;9/3/2019;Electronic;Business;3,948;oag.ca.gov;#https://oag.ca.gov/system/files/Andy%20Frain%20Services%20-%20Proof%20-%20A%20-%20California%20.pdf#
Cardiovascular Group;GA;8/23/2019;Electronic;Medical/Healthcare;2,168;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
East Central Indiana School Trust;IN;9/3/2019;Electronic;Medical/Healthcare;3,259;ecesc.k12.in.us;#https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/456116/ECIST.Substitute_Notice.pdf#
Alight Solutions LLC;IL;8/20/2019;Electronic;Business;19,379;oag.ca.gov;#https://oag.ca.gov/system/files/Enclosures%20Joint.pdf#
Cornerstone Incorporated;WI;8/19/2019;Electronic;Business;7,213;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/08/20/cornerstone-inc-notice-of-data-breach-to-consumers/#
DK-Lok AL 9/5/2019 Electronic Business Unknown;DK;9/5/2019;Electronic;Business;Unknown;vpnmentor.com;vpnmentor.com/blog/report-dklok-leak/#http://vpnmentor.com/blog/report-dklok-leak/#
Lake Park High School District 108 (Pearson - AIMSWeb 1.0 platform);IL;8/31/2019;Electronic;Education;676;lphs.org;#https://www.lphs.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=10&ViewID=6446EE88-D30C-497
Oak Grove School District 68 (Pearson - AIMSWeb 1.0 platform);IL;8/6/2019;Electronic;Education;Unknown;ogschool.org;#https://campussuite-storage.s3.amazonaws.com/prod/803180/eeb75da6-ddad-11e6-8383-22000bd8490f/1965749/6a6c2
Pomfret Community School (Pearson - AIMSWeb 1.0 platform);CT;8/29/2019;Electronic;Education;Unknown;pomfretcommunityschool.org;#https://www.pomfretcommunityschool.org/pearson-clinical-assessment-security-data-breach#
Addison School District 4 (Pearson - AIMSWeb 1.0 platform);IL;8/29/2019;Electronic;Education;Unknown;asd4.org;#https://www.asd4.org/apps/news/article/1069304#
Discover (reported on 8/21/2019);IL;8/21/2019;Electronic;Banking/Credit/Financial;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/08/21/discover-notice-of-data-breach-to-consumers-8/#
Conway Regional Health System;AR;8/25/2019;Electronic;Medical/Healthcare;37,000;conwayregional.org;#http://www.conwayregional.org/security-notification#
Cleveland Clinic Foundation;OH;8/19/2019;Electronic;Medical/Healthcare;604;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
NorthStar Anesthesia, P.A. (reported on 8/22/2019);TX;8/22/2019;Paper Data;Medical/Healthcare;19,807;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Choctaw Nation Health Services Authority;OK;8/23/2019;Electronic;Medical/Healthcare;550;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Artesia General Hospital;NM;8/27/2019;Electronic;Medical/Healthcare;13,905;atesiageneral.com;#https://artesiageneral.com/notice-of-privacy-incident/#
Naples Central School District (Pearson - AIMSWeb 1.0 platform);NY;8/29/2019;Electronic;Education;Unknown;naplescsd.org;#http://www.naplescsd.org/districtpage.cfm?pageid=1008#
Cartersville City Schools (Pearson - AIMSWeb 1.0 platform);GA;8/29/2019;Electronic;Education;Unknown;cartersvilleschools.org;#https://www.cartersvilleschools.org/cms/lib/GA02202677/Centricity/Domain/4/AIMSweb%201.0.pdf#
Foxit Software Inc.;CA;8/30/2019;Electronic;Business;Unknown;foxitsoftware.com;#https://www.foxitsoftware.com/support/security-advisories.php#
Russel Stover Chocolates, LLC;MO;8/30/2019;Electronic;Business;Unknown;russellstover.com;#https://www.russellstover.com/securityincident#
